I12_T71	Boutiquea_platypetala
I10_T7	Isolona_pleurocarpa
I10_T8	Uvariodendron_molundense
I12_T76	Xylopia_hypolampra
I12_T79	Cleistopholis_staudii
I10_T10	Letestudoxa_bella
I06_T19	Polyceratocarpus_parviflorus
I06_T23	Brieya_facsiculata
I12_T87	Uvariopsis_dioica
I12_T89	Neostenanthera_myristicifolia
I12_T90	Artabotrys_rufus
I10_T13	Meiocarpidium_lepidotum
I12_T97	Uvariastrum_pierreannum
I06_T35	Piptostigma_calophyllum
I10_T14	Duguetia_staudtii
I12_T98	Monanthotaxis_congoensis
I12_T99	Mischogyne_elliotianum
I06_T44	Sirdavidia_solannona
I10_T15	Cremastosperma_oblongum
I10_T16	Trigynaea_sp
I10_T18	Unonopsis_spectabilis
I10_T19	Pseudoxandra_angustifolia
I10_T20	Diclinanona_calycina
I10_T21	Fusaea_peruviana
I10_T23	Guatteria_jefensis
I10_T24	Sapranthus_viridiflorus
I10_T25	Anaxagorea_crassipetala
I10_T26	Stenanona_humilis
I10_T27	Porcelia_venezuelensis
I10_T28	Ruizodendron_ovale
I10_T29	Desmopsis_heteropetala
I10_T30	Cymbopetalum_costaricense
I10_T32	Hornschuchia_alba
I10_T33	Ephedranthus_parviflorus
I10_T34	Mosannona_vasquezii
I10_T35	Onychopetalum_periquino
I10_T36	Annona_glabra
I10_T37	Xylopia_peruviana
I10_T38	Oxandra_asbeckii
I06_T57	Marsypopetalum_littorale
I06_T58	Mwasumbia_alba
I10_T42	Asteranthe_asterias
I10_T43	Mkilua_fragrans
I10_T44	Sanrafaelia_ruffonammari
I10_T45	Drepananthus_ramuliflorus
I10_T46	Meiogyne_sp
I10_T47	Polyalthia_insignis
I10_T48	Orophea_sp
I10_T49	Fissistigma_sp
I10_T50	Monocarpia_kalimantanensis
I10_T51	Monoon_erianthoides
I10_T52	Uvaria_grandiflora
I10_T53	Desmos_sp
I10_T59	Goniothalamus_borneensis
I10_T54	Friesodielsia_excisa
I10_T55	Popowia_alata
I10_T56	Sageraea_lanceolata
I10_T57	Phaeanthus_splendens
I10_T58	Neouvaria_acuminatissima
I10_T60	Dasymaschalon_sp
I10_T61	Alphonsea_kinabaluensis
I10_T31	Klarobelia_candida
I02_T7	Annickia_affinis
I04_T36	Anonidium_mannii
I07_T51	Friesodielsia_enghiana
I08_T21	Greenwayodendron_suaveolens
R52_T71	Monodora_myristica
